,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
12382,BRN,Asia,Brunei,2/1/2021,157,0,0.714,3,0,0,358.871,0,1.633,6.857,0,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
12383,BRN,Asia,Brunei,3/1/2021,172,15,2.857,3,0,0,393.158,34.287,6.531,6.857,0,0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
12384,BRN,Asia,Brunei,4/1/2021,172,0,2.857,3,0,0,393.158,0,6.531,6.857,0,0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
12385,BRN,Asia,Brunei,5/1/2021,172,0,2.857,3,0,0,393.158,0,6.531,6.857,0,0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
12386,BRN,Asia,Brunei,6/1/2021,172,0,2.143,3,0,0,393.158,0,4.898,6.857,0,0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
12387,BRN,Asia,Brunei,7/1/2021,173,1,2.286,3,0,0,395.444,2.286,5.225,6.857,0,0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
12388,BRN,Asia,Brunei,8/1/2021,173,0,2.286,3,0,0,395.444,0,5.225,6.857,0,0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
12389,BRN,Asia,Brunei,9/1/2021,173,0,2.286,3,0,0,395.444,0,5.225,6.857,0,0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
12390,BRN,Asia,Brunei,10/1/2021,173,0,0.143,3,0,0,395.444,0,0.327,6.857,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
12391,BRN,Asia,Brunei,11/1/2021,173,0,0.143,3,0,0,395.444,0,0.327,6.857,0,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
12392,BRN,Asia,Brunei,12/1/2021,174,1,0.286,3,0,0,397.73,2.286,0.653,6.857,0,0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838
