" Subject: Marital Status, Marriages and Divorces "
 Topic : Total Divorces 
" Title  : M830202 - Divorce Rates, Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 Variables , 1980 , 1981 , 1982 , 1983 , 1984 , 1985 , 1986 , 1987 , 1988 , 1989 , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
" Male General Divorce Rate * (Per 1,000 Married Resident Aged 20 Years & Over) ", 3.7 , 4.3 , 4.3 , 4.3 , 4.6 , 4.6 , 4.9 , 4.9 , 5.2 , 5 , 6.1 , 7 , 6.2 , 6 , 5.5 , 6.1 , 6.4 , 6.6 , 7.4 , 6.8 , 6.5 , 6.2 , 7.1 , 7.8 , 7.1 , 7.6 , 7.7 , 7.7 , 7.5 , 7.5 , 7.5 , 7.6 , 7.1 , 7.3 , 7 , 7.1 , 7.1 , 6.9 , 6.7 , 6.9 ,
"     20 - 24 Years (Per 1,000 Married Resident Males) ", 5.9 , 6.6 , 8 , 8.6 , 12.1 , 13.4 , 12.5 , 17.9 , 16.1 , 12.1 , 13.4 , 23.4 , 16.9 , 12.4 , 16.2 , 14.9 , 15.5 , 20.5 , 27.2 , 32 , 26.2 , 30.2 , 42.7 , 30 , 37.2 , 32.1 , 32.7 , 35.7 , 32.9 , 27.3 , 24.9 , 26.6 , 28.4 , 25.8 , 25.3 , 30.8 , 27.6 , 25.9 , 28.6 , 30.6 ,
"     25 - 29 Years (Per 1,000 Married Resident Males) ", 6.9 , 9.1 , 8.7 , 9.1 , 9.5 , 9.5 , 10.2 , 11.8 , 12.8 , 13.4 , 13.3 , 15.9 , 13.2 , 13.7 , 11.4 , 12 , 12.2 , 13.7 , 18.2 , 15.1 , 14.1 , 14.8 , 17.3 , 19.4 , 21 , 19.1 , 21 , 20.2 , 19.1 , 17.4 , 16.3 , 20.3 , 21.7 , 21.7 , 20.2 , 17.8 , 16.7 , 16.8 , 15.6 , 16 ,
"     30 - 34 Years (Per 1,000 Married Resident Males) ", 6.5 , 7.4 , 7.6 , 7.3 , 7.6 , 7.8 , 8 , 7.4 , 8.1 , 8.1 , 10.6 , 11.4 , 9.7 , 9.9 , 9 , 9.7 , 9.6 , 10.8 , 11.5 , 11 , 10.6 , 11.1 , 13.4 , 14 , 14.8 , 15.9 , 16.2 , 16 , 16 , 15.1 , 14.6 , 14 , 13.3 , 13.1 , 13.1 , 12.5 , 12.6 , 12.5 , 12.1 , 12.6 ,
"     35 - 39 Years (Per 1,000 Married Resident Males) ", 4.4 , 5.9 , 5.7 , 5.5 , 5.8 , 5.6 , 6.4 , 6.1 , 6.6 , 6.4 , 7.5 , 9 , 7.8 , 7.8 , 7 , 8.4 , 8.6 , 8.6 , 9.8 , 9.1 , 8.9 , 7.8 , 10.6 , 11.5 , 9.4 , 11.7 , 11.8 , 11.9 , 12.3 , 12.5 , 12.5 , 12.7 , 11.9 , 12 , 11.6 , 11.7 , 12.8 , 11.5 , 11.8 , 11.6 ,
"     40 - 44 Years (Per 1,000 Married Resident Males) ", 3.8 , 4.1 , 3.8 , 3.9 , 4.2 , 3.9 , 4.7 , 5.1 , 4.9 , 4.9 , 5.7 , 6.8 , 6.4 , 6.2 , 5.6 , 6.6 , 7.1 , 6.7 , 7.6 , 7.4 , 6.8 , 6.8 , 7.1 , 8.3 , 7.5 , 7.7 , 8.2 , 8.5 , 8.7 , 9.2 , 9.6 , 10 , 9.4 , 9.8 , 9.9 , 10.1 , 9.6 , 10.2 , 9.7 , 9.9 ,
"     45 - 49 Years (Per 1,000 Married Resident Males) ", 2.1 , 2.9 , 3.1 , 3 , 2.8 , 2.7 , 3.1 , 3 , 3.5 , 3.2 , 4.1 , 4.6 , 4.5 , 4.5 , 4.5 , 5.5 , 5.7 , 5.5 , 6.1 , 5.9 , 5.7 , 5.6 , 5.7 , 6.5 , 5.6 , 6.4 , 6.7 , 6.8 , 6.6 , 7.2 , 7.5 , 7.7 , 7.6 , 8.5 , 7.7 , 8.3 , 8.4 , 7.7 , 8.5 , 8.5 ,
"     50 Years And Over (Per 1,000 Married Resident Males) ", 0.8 , 0.9 , 0.9 , 0.8 , 1.1 , 1.1 , 1.3 , 1.1 , 1.1 , 1.1 , 1.6 , 1.9 , 2 , 1.9 , 1.7 , 2 , 2.3 , 2.5 , 3.1 , 2.7 , 2.6 , 2.4 , 2.7 , 3.2 , 2.9 , 3 , 3.1 , 3.2 , 3.1 , 3.3 , 3.3 , 3.5 , 3.3 , 3.6 , 3.5 , 3.7 , 3.6 , 3.7 , 3.4 , 3.7 ,
" Female General Divorce Rate * (Per 1,000 Married Resident Aged 20 Years & Over) ", 3.8 , 4.3 , 4.3 , 4.3 , 4.6 , 4.6 , 5 , 5 , 5.2 , 5.1 , 6.1 , 7.1 , 6.2 , 6.1 , 5.5 , 6.1 , 6.5 , 6.6 , 7.5 , 6.9 , 6.5 , 6.4 , 7.1 , 7.8 , 6.9 , 7.3 , 7.4 , 7.4 , 7.3 , 7.1 , 7.2 , 7.2 , 6.7 , 6.9 , 6.5 , 6.6 , 6.6 , 6.5 , 6.3 , 6.5 ,
