 Subject: Energy and Utilities 
" Topic : Electricity Generation, Consumption and Tariffs "
" Title  : M890841 - Electricity Generation And Consumption, Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Gigawatt Hours
 Variables , 1975 , 1976 , 1977 , 1978 , 1979 , 1980 , 1981 , 1982 , 1983 , 1984 , 1985 , 1986 , 1987 , 1988 , 1989 , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
 Electricity Generation * ," 4,175.7 "," 4,604.9 "," 5,114.7 "," 5,897.9 "," 6,447.8 "," 6,940.5 "," 7,441.9 "," 7,859.5 "," 8,625.9 "," 9,420.7 "," 9,876.3 "," 10,576.5 "," 11,813.8 "," 13,017.5 "," 14,038.9 "," 15,617.6 "," 16,596.6 "," 17,543.1 "," 18,962.4 "," 20,675.4 "," 22,057.4 "," 23,909.4 "," 26,709.4 "," 28,374.8 "," 29,520.1 "," 31,665 "," 33,061 "," 34,664.6 "," 35,281.5 "," 36,809.6 "," 38,212.7 "," 39,480.4 "," 41,134.1 "," 41,669.6 "," 41,800.6 "," 45,366.5 "," 45,999.4 "," 46,936.2 "," 47,963.5 "," 49,309.7 "," 50,271.6 "," 51,586.6 "," 52,225.8 "," 52,904.8 "," 54,142.3 ",
 Electricity Consumption * , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ," 35,489.3 "," 36,801.8 "," 38,304.9 "," 38,986.9 "," 38,822.9 "," 42,251.7 "," 43,007.1 "," 44,200.7 "," 44,948.8 "," 46,403 "," 47,513.9 "," 48,626.6 "," 49,643.7 "," 50,448.9 ", na ,
     Industrial-related , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ," 14,509 "," 15,115.4 "," 15,819 "," 16,030.9 "," 15,570.3 "," 17,662.6 "," 18,077.5 "," 18,572.5 "," 18,842.8 "," 19,753.2 "," 20,088 "," 20,418.4 "," 21,516.3 "," 21,450.7 ", na ,
         Manufacturing , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ," 13,836.1 "," 14,397.2 "," 14,943.2 "," 15,032.7 "," 14,539.7 "," 16,448 "," 16,752.4 "," 17,112.4 "," 17,237.4 "," 17,989 "," 18,277.6 "," 18,370.9 "," 19,581.7 "," 19,451.5 ", na ,
         Construction , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 234.8 , 250.5 , 279.1 , 300.9 , 308.3 , 337.8 , 363 , 443.7 , 490.5 , 527.1 , 531 , 551.6 , 484.3 , 432.3 , na ,
         Utilities , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 411 , 441.8 , 569.2 , 668.4 , 691.9 , 843.4 , 928.5 , 978.9 ," 1,074.8 "," 1,198 "," 1,237.2 "," 1,450.1 "," 1,402.6 "," 1,518.6 ", na ,
         Other Industrial-related , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 27.2 , 25.9 , 27.5 , 29 , 30.4 , 33.3 , 33.6 , 37.5 , 40.1 , 39.2 , 42.2 , 45.8 , 47.7 , 48.3 , na ,
     Commerce And Service-related , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ," 13,075.6 "," 13,785.7 "," 14,520.6 "," 15,004.6 "," 14,800.1 "," 15,469.7 "," 15,876.3 "," 16,366.1 "," 16,718.6 "," 17,046.6 "," 17,481 "," 17,699.3 "," 17,804.3 "," 18,562.4 ", na ,
         Wholesale And Retail Trade , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ," 2,109.8 "," 1,977.2 "," 1,891.9 "," 1,924.7 "," 1,821.4 "," 1,923 "," 1,898.8 "," 1,909.4 "," 1,967.1 "," 2,020.5 "," 2,107.4 "," 2,073.4 "," 1,994.5 "," 2,292.9 ", na ,
