" Subject: Labour, Employment, Wages and Productivity "
 Topic : Employment 
" Title  : M182131 - Employed Residents Aged 15 Years And Over By Industry And Age Group, (June), Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Thousand
 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
 All Industries (Employed Residents) ," 1,288.8 "," 1,345 "," 1,369.8 "," 1,381.6 "," 1,416.1 "," 1,381.9 "," 1,464.8 "," 1,499.8 "," 1,493.8 "," 1,518.3 "," 1,482.6 "," 1,582.5 "," 1,573.7 "," 1,605.4 "," 1,632.1 "," 1,647.3 "," 1,796.7 "," 1,803.2 "," 1,852 "," 1,869.4 "," 1,962.9 "," 1,998.9 "," 2,040.6 "," 2,056.1 "," 2,103.5 "," 2,147.8 "," 2,165.3 "," 2,175.3 "," 2,203.7 "," 2,230.4 ",
     Manufacturing , 332.6 , 366 , 362.2 , 365 , 358.9 , 297.2 , 347.6 , 345.9 , 329.9 , 329.2 , 289 , 307.8 , 299 , 303.6 , 298.3 , 275.2 , 301.7 , 304.5 , 311.9 , 293.6 , 291.4 , 292.4 , 288.2 , 280 , 249.3 , 238.7 , 227.5 , 223.6 , 228.2 , 214.4 ,
     Construction , 75.5 , 87.7 , 89.4 , 90.5 , 95.5 , 89.6 , 99.6 , 107.2 , 111.3 , 109 , 90.9 , 100 , 96.5 , 97.7 , 92.6 , 81.6 , 95 , 100.8 , 105.5 , 113.8 , 104 , 99.7 , 104.5 , 101.9 , 98.2 , 110.4 , 100.9 , 100.6 , 104 , 98 ,
     Services , 861.2 , 880.1 , 905.6 , 914.3 , 948.6 , 971.9 ," 1,007.3 "," 1,031.4 "," 1,039.1 "," 1,065.4 "," 1,089.4 "," 1,160.6 "," 1,164.8 "," 1,190.3 "," 1,227.5 "," 1,272.7 "," 1,377.5 "," 1,377.2 "," 1,411.9 "," 1,441.1 "," 1,529.9 "," 1,583.3 "," 1,621.4 "," 1,647.5 "," 1,731.2 "," 1,775.4 "," 1,816.8 "," 1,829.4 "," 1,849.9 "," 1,894.5 ",
         Wholesale & Retail Trade * , 232.2 , 322.8 , 333.2 , 337.2 , 343.8 , 219 , 354.8 , 338.8 , 236.7 , 238.3 , 253.7 , 253.8 , 256.4 , 253.7 , 275.4 , 303.6 , 301.1 , 277 , 269.5 , 272.4 , 281.7 , 300.5 , 306.3 , 302.2 , 346.3 , 364.1 , 364.1 , 356.2 , 352.5 , 356 ,
         Transportation & Storage * , 126.2 , 143.6 , 146.8 , 154.8 , 158.8 , 144.1 , 169.5 , 177.5 , 172.3 , 172.2 , 150.2 , 190.1 , 183.9 , 183.5 , 183.3 , 163.1 , 174 , 179.9 , 182.4 , 179.9 , 191.3 , 192 , 189.5 , 192.6 , 188.9 , 187.6 , 188.4 , 195.9 , 199 , 205.5 ,
         Accommodation & Food Services , 91.1 , - , - , - , - , 90.7 , - , - , 98.4 , 101.7 , 92.6 , 105 , 103.5 , 107.8 , 107.9 , 103.2 , 128.8 , 123.1 , 120 , 124.9 , 128.9 , 135.2 , 129.3 , 135.1 , 137.1 , 139.1 , 138.2 , 134.4 , 134.4 , 131.8 ,
         Information & Communications , 20.3 , - , - , - , - , 36.7 , - , - , - , - , 56.3 , - , - , - , - , 64.5 , 74.8 , 87.8 , 87 , 94.3 , 99.9 , 85.4 , 85.8 , 92.1 , 87.8 , 83.5 , 84.6 , 88.7 , 92.1 , 100 ,
         Financial & Insurance Services * , 57.8 , 152.2 , 157.7 , 159.4 , 179.5 , 75 , 212.6 , 231.8 , 89 , 86.1 , 87.2 , 89.1 , 90.8 , 88.6 , 91.9 , 102.1 , 106.3 , 109.7 , 123.6 , 121.9 , 126 , 145.5 , 150.6 , 147.8 , 165.6 , 167.3 , 190.7 , 189.6 , 196 , 209.4 ,
         Business Services , 108.7 , - , - , - , - , 143.9 , - , - , 153.3 , 165.5 , 167.6 , 199.7 , 198 , 206.8 , 216.2 , 207 , 217.3 , 223.9 , 237.5 , 243.4 , 253.5 , 271.6 , 289.7 , 291.6 , 311.3 , 333.4 , 334.7 , 345.7 , 348.3 , 352.8 ,
             Real Estate Services , 39.1 , - , - , - , - , 45.9 , - , - , - , - , 42.7 , - , - , - , - , 42.5 , 39.9 , 41 , 43 , 47.7 , 40.2 , 48.9 , 52 , 49.3 , 55.6 , 55.4 , 53.5 , 57.6 , 54 , 48.7 ,
             Professional Services , 42.1 , - , - , - , - , 66.5 , - , - , - , - , 74.6 , - , - , - , - , 95.4 , 99 , 97.2 , 109.6 , 109.6 , 112.5 , 124.8 , 135 , 142.8 , 153 , 166.5 , 162.9 , 170.8 , 174.4 , 181.5 ,
             Administrative & Support Services , 27.5 , - , - , - , - , 31.4 , - , - , - , - , 50.2 , - , - , - , - , 69.2 , 78.4 , 85.7 , 84.9 , 86.1 , 100.7 , 97.9 , 102.8 , 99.5 , 102.7 , 111.5 , 118.3 , 117.3 , 119.9 , 122.6 ,
"         Community, Social & Personal Services ", 225 , 261.5 , 267.9 , 262.9 , 266.5 , 262.4 , 270.4 , 283.3 , 289.4 , 301.6 , 281.8 , 322.9 , 332.3 , 349.9 , 352.9 , 329.1 , 375.2 , 375.8 , 391.9 , 404.4 , 448.6 , 453.1 , 470.1 , 486.1 , 494.3 , 500.5 , 516.1 , 519.2 , 527.7 , 538.9 ,
             Public Administration & Education , 141.6 , - , - , - , - , 153.1 , - , - , 172.8 , 179 , 171.3 , 189.2 , 198.7 , 216.4 , 212.2 , 196 , 223.3 , 220.3 , 228.5 , 236.3 , 266.6 , 266.3 , 275.1 , 284.8 , 285.2 , 290.7 , 294.9 , 293.7 , 296.9 , 304.3 ,
             Health & Social Services , 33 , - , - , - , - , 38.5 , - , - , 41.7 , 44.5 , 46.3 , 54 , 53.2 , 55.8 , 61.9 , 60.1 , 70.8 , 69.9 , 74.3 , 76.9 , 83.3 , 87.4 , 90.8 , 94.8 , 107.7 , 105.7 , 115.9 , 124.8 , 126 , 136.2 ,
"             Arts, Entertainment & Recreation ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 32.9 , 33.7 , 39 , 37.2 , 35.1 , 37 , 40.4 , 35.2 , 37.7 , 34.3 ,
