 Subject: National Accounts 
 Topic : Gross Domestic Product 
" Title  : M015231 - Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2015 Version 2018), Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Million Dollars
 Variables , 1960 , 1961 , 1962 , 1963 , 1964 , 1965 , 1966 , 1967 , 1968 , 1969 , 1970 , 1971 , 1972 , 1973 , 1974 , 1975 , 1976 , 1977 , 1978 , 1979 , 1980 , 1981 , 1982 , 1983 , 1984 , 1985 , 1986 , 1987 , 1988 , 1989 , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
 GDP In Chained (2015) Dollars ," 8,170.2 "," 8,835 "," 9,502.4 "," 10,456.5 "," 10,132 "," 10,925.8 "," 12,038 "," 13,543.8 "," 15,375.9 "," 17,502.9 "," 19,943.2 "," 22,418.9 "," 25,404.1 "," 28,097.6 "," 29,816.5 "," 31,003.7 "," 33,309.5 "," 35,592.1 "," 38,360.2 "," 42,025.2 "," 46,275.3 "," 51,280.5 "," 54,922.5 "," 59,620.9 "," 64,863 "," 64,459 "," 65,324.6 "," 72,378.2 "," 80,530.7 "," 88,711.5 "," 97,423.9 "," 103,940.1 "," 110,841.4 "," 123,546.9 "," 137,257.7 "," 147,141.5 "," 158,135 "," 171,291.7 "," 167,531.2 "," 177,120.7 "," 193,130.9 "," 191,066.3 "," 198,545.8 "," 207,551.4 "," 227,932.1 "," 244,705.7 "," 266,741.8 "," 290,807.6 "," 296,240.6 "," 296,599 "," 339,681.9 "," 361,210.5 "," 377,326.3 "," 395,578.7 "," 411,156.6 "," 423,444.1 "," 437,178.4 "," 456,137.1 "," 471,819.6 "," 475,279.5 ",
     Goods Producing Industries ," 1,836 "," 2,002.1 "," 2,189.4 "," 2,471.7 "," 2,633.2 "," 2,879.1 "," 3,212.4 "," 3,641.9 "," 4,280.6 "," 5,012.5 "," 5,975.9 "," 6,935.4 "," 8,085.9 "," 8,730.4 "," 9,046.1 "," 9,331.1 "," 10,361.4 "," 10,998.4 "," 11,711.5 "," 13,060.8 "," 14,306.7 "," 15,780.1 "," 16,563.6 "," 18,279.7 "," 20,040.7 "," 18,062 "," 17,729.7 "," 19,426 "," 21,878.3 "," 23,629.7 "," 25,741.3 "," 27,596.3 "," 28,947.5 "," 31,634.6 "," 36,148.8 "," 39,557.5 "," 42,068 "," 44,764 "," 44,864.1 "," 47,976.2 "," 53,279 "," 48,547.2 "," 50,872.2 "," 51,668.5 "," 57,334 "," 62,068.7 "," 69,083.2 "," 74,017.8 "," 73,427.6 "," 73,823.1 "," 91,573.1 "," 97,776.4 "," 99,895.7 "," 101,759.8 "," 105,645.2 "," 102,986 "," 105,688.3 "," 112,845.1 "," 118,418.8 "," 117,499.6 ",
         Manufacturing ," 1,019.3 "," 1,073.8 "," 1,170.2 "," 1,365.3 "," 1,407.7 "," 1,573.6 "," 1,794.6 "," 2,061.6 "," 2,459.6 "," 3,019.7 "," 3,670 "," 4,346.3 "," 5,131.7 "," 5,963.3 "," 6,200.1 "," 6,077.8 "," 6,790.8 "," 7,423.6 "," 8,264.2 "," 9,404.9 "," 10,345.3 "," 11,307.4 "," 10,911.5 "," 11,216.9 "," 12,058.1 "," 11,178 "," 12,117.2 "," 14,232 "," 16,840.8 "," 18,491.3 "," 20,247.4 "," 21,349.2 "," 21,839.3 "," 23,950.4 "," 26,990.3 "," 29,700.2 "," 30,522.9 "," 31,835.1 "," 31,603.2 "," 35,721.4 "," 41,131.9 "," 36,358.4 "," 39,437.6 "," 40,619.2 "," 46,243.3 "," 50,640.8 "," 56,678.2 "," 60,045.4 "," 57,530.4 "," 55,142.9 "," 71,506.5 "," 77,089.5 "," 77,335.8 "," 78,628.4 "," 80,737.9 "," 76,598.2 "," 79,432.7 "," 87,698.7 "," 93,862.6 "," 92,508 ",
         Construction , 343.2 , 471.3 , 518.1 , 627 , 731.6 , 841.5 , 829.9 , 941.7 ," 1,135.5 "," 1,282.4 "," 1,584.7 "," 1,818.4 "," 2,128.7 "," 1,930.7 "," 2,020.3 "," 2,344.2 "," 2,594 "," 2,532.4 "," 2,332.2 "," 2,487.9 "," 2,758.6 "," 3,254.5 "," 4,474.1 "," 5,817.1 "," 6,694.1 "," 5,555.7 "," 4,254.9 "," 3,754.8 "," 3,554.6 "," 3,596.3 "," 3,869 "," 4,565.2 "," 5,376.9 "," 5,855.8 "," 7,152.6 "," 7,741.5 "," 9,304.5 "," 10,517.7 "," 10,729.2 "," 9,573.5 "," 9,308.6 "," 9,324.6 "," 8,088 "," 7,393.7 "," 7,027.2 "," 7,083.7 "," 7,639.8 "," 9,220.4 "," 11,537.9 "," 14,112.5 "," 15,102.6 "," 15,617.5 "," 17,293.3 "," 17,728.5 "," 19,280.6 "," 20,433.8 "," 20,199.4 "," 19,101 "," 18,433.5 "," 18,951.4 ",
         Utilities , 142.3 , 147.9 , 168.5 , 172.9 , 196.6 , 195.8 , 235.7 , 275.1 , 311.3 , 337.7 , 381 , 417.2 , 471.6 , 519.2 , 543.8 , 578.6 , 624.4 , 683 , 770.7 , 828.9 , 884.1 , 943.3 , 986.3 ," 1,068.3 "," 1,140.6 "," 1,187.2 "," 1,260.9 "," 1,373.3 "," 1,484.5 "," 1,563.6 "," 1,691.3 "," 1,801.3 "," 1,876.4 "," 2,002.4 "," 2,210.2 "," 2,354.7 "," 2,573 "," 2,826.5 "," 2,983.8 "," 3,107.1 "," 3,344.8 "," 3,575.1 "," 3,797.5 "," 3,977.2 "," 4,117.3 "," 4,189.3 "," 4,481.1 "," 4,661 "," 4,754.2 "," 4,819.8 "," 5,209.3 "," 5,328.1 "," 5,441.8 "," 5,572.1 "," 5,705.8 "," 5,815.9 "," 5,915.8 "," 5,898 "," 5,851.3 "," 5,885.6 ",
         Other Goods Industries * , 194.1 , 197.8 , 210.6 , 210.8 , 208.8 , 207 , 244.2 , 253.3 , 274.5 , 289.5 , 300.3 , 332.3 , 359.7 , 340.4 , 326.9 , 354.8 , 390 , 394 , 379.8 , 387.3 , 392.2 , 403.5 , 407.3 , 432.6 , 446.1 , 400.9 , 350 , 320.4 , 272.2 , 259.6 , 238.2 , 218.5 , 208.4 , 199.4 , 205.8 , 195.9 , 202 , 197 , 177.7 , 175.9 , 165.4 , 144.3 , 119.4 , 109.5 , 109.5 , 117 , 119 , 119 , 112 , 116.4 , 119.6 , 124.5 , 129.9 , 134.4 , 138.8 , 138.1 , 140.4 , 139.2 , 139.1 , 146.2 ,
     Services Producing Industries ," 4,891.1 "," 5,299 "," 5,678.1 "," 6,248.1 "," 5,821.1 "," 6,185.8 "," 6,770.1 "," 7,678 "," 8,664.2 "," 9,729.6 "," 10,830.9 "," 12,110.3 "," 13,506.5 "," 15,197.6 "," 16,473.5 "," 17,196.3 "," 18,233.2 "," 19,544.6 "," 21,252.9 "," 23,022.3 "," 25,465.3 "," 28,204.9 "," 30,691.8 "," 32,704.2 "," 35,139.9 "," 36,694.7 "," 37,602.6 "," 41,882.6 "," 46,418.2 "," 51,524.7 "," 57,252.6 "," 61,384.9 "," 66,134.5 "," 74,710.6 "," 82,306.6 "," 87,592.4 "," 95,220.1 "," 104,476.8 "," 100,668.5 "," 105,336.6 "," 113,799.8 "," 117,776.5 "," 122,082.6 "," 129,637.4 "," 142,103.2 "," 152,552 "," 165,127.3 "," 181,144.5 "," 189,579.1 "," 189,155.4 "," 211,966.7 "," 226,916.9 "," 239,322.2 "," 255,756.9 "," 266,816.9 "," 278,101.3 "," 285,155.6 "," 294,683.8 "," 304,595 "," 307,962.7 ",
         Wholesale & Retail Trade ," 1,449.2 "," 1,609.9 "," 1,729.1 "," 2,006.1 "," 1,594.8 "," 1,648.6 "," 1,919.4 "," 2,299.1 "," 2,585.9 "," 2,875.2 "," 3,104 "," 3,360.5 "," 3,646.4 "," 4,056.3 "," 4,506.8 "," 4,479.7 "," 4,532.6 "," 4,913 "," 5,219.9 "," 5,489 "," 5,730.9 "," 5,935.1 "," 6,236.3 "," 6,541.3 "," 6,891.2 "," 6,631.5 "," 6,583.1 "," 7,276.8 "," 8,594.7 "," 9,315.6 "," 10,380.2 "," 11,446.9 "," 11,341.3 "," 13,888.1 "," 15,932.9 "," 17,866.2 "," 18,642.9 "," 19,972.5 "," 18,341.4 "," 19,720.8 "," 23,519.1 "," 23,338.8 "," 24,876.2 "," 28,013.4 "," 32,875.8 "," 36,172.9 "," 40,223.1 "," 43,107.6 "," 44,630.6 "," 42,882.8 "," 49,960.8 "," 53,697 "," 57,395.8 "," 60,922.5 "," 63,200.1 "," 65,584.5 "," 66,021.6 "," 66,977.8 "," 68,858 "," 66,858.5 ",
         Transportation & Storage , 620.9 , 658.6 , 666.9 , 677.1 , 627.7 , 663.2 , 693.2 , 765.8 , 893.6 ," 1,024.4 "," 1,179 "," 1,347.4 "," 1,586.9 "," 1,934.6 "," 2,114.7 "," 2,267.6 "," 2,618.5 "," 2,982.9 "," 3,396 "," 3,885.2 "," 4,343.7 "," 4,764.3 "," 5,202.7 "," 5,636.9 "," 6,231.3 "," 6,339.3 "," 6,755.3 "," 7,205.6 "," 8,001.2 "," 8,684.2 "," 9,427.4 "," 10,022.9 "," 10,478.4 "," 11,416.8 "," 12,339.2 "," 13,431 "," 14,263.4 "," 15,111 "," 15,721.3 "," 16,812 "," 17,415.7 "," 17,303.5 "," 18,236 "," 17,992.2 "," 20,119.4 "," 21,525.9 "," 22,506.7 "," 24,650 "," 25,768.9 "," 23,489.6 "," 24,927.5 "," 26,514.8 "," 27,851.1 "," 28,721.7 "," 29,276.3 "," 30,014.6 "," 30,545.2 "," 32,092.4 "," 32,079.6 "," 32,347.4 ",
