" Subject: Marital Status, Marriages and Divorces "
 Topic : Total Marriages 
" Title  : M830102 - Marriage Rates, Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 Variables , 1980 , 1981 , 1982 , 1983 , 1984 , 1985 , 1986 , 1987 , 1988 , 1989 , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
" Male General Marriage Rate * (Per 1,000 Unmarried Resident Males Aged 15-49) ", 54.9 , 58.4 , 54.5 , 46.9 , 57.7 , 54.3 , 45.6 , 53.3 , 56 , 52.6 , 52.2 , 55.5 , 56.7 , 55.3 , 54.7 , 54.6 , 53.2 , 56.7 , 49.4 , 54.7 , 47.4 , 46.7 , 47.5 , 44.9 , 44 , 43.8 , 43.7 , 43.5 , 43.5 , 43.4 , 39.3 , 43.5 , 43.8 , 40.5 , 44.4 , 44.2 , 44.4 , 45.7 , 43.3 , 40.7 ,
"     15 - 19 Years (Per 1,000 Unmarried Resident Males) ", 1.7 , 1.6 , 1.6 , 1.4 , 1.5 , 1.2 , 1 , 1 , 0.8 , 1 , 1.2 , 1.4 , 1.3 , 1.6 , 1.4 , 1.2 , 1.5 , 1.2 , 1.3 , 1.4 , 1.7 , 1.8 , 1.5 , 1.2 , 1.1 , 1 , 1 , 0.9 , 0.9 , 0.8 , 0.7 , 0.7 , 0.6 , 0.6 , 0.5 , 0.6 , 0.4 , 0.4 , 0.3 , 0.5 ,
"     20 - 24 Years (Per 1,000 Unmarried Resident Males) ", 49.9 , 51.8 , 46 , 38.8 , 44.7 , 43.8 , 35.8 , 37.9 , 38.8 , 37.9 , 35.1 , 35.4 , 32.5 , 29.4 , 29.5 , 29.3 , 28 , 33.2 , 26.9 , 28.8 , 23.7 , 22 , 20.5 , 18.7 , 19 , 17.4 , 16.7 , 15.9 , 14.4 , 12.7 , 11.7 , 11.1 , 12.2 , 10.9 , 10.7 , 10.1 , 9.2 , 9.3 , 9 , 7.9 ,
"     25 - 29 Years (Per 1,000 Unmarried Resident Males) ", 140.1 , 138 , 126.3 , 104.9 , 122.2 , 110.3 , 87.3 , 104.1 , 112.1 , 100.7 , 107.6 , 109.4 , 113.7 , 108.3 , 107.9 , 113.1 , 110.1 , 119.1 , 100.5 , 118.3 , 104 , 98.5 , 101.1 , 96.2 , 85.9 , 85.3 , 84.4 , 82 , 83 , 79.5 , 71.8 , 79.6 , 77.8 , 71.5 , 77 , 76.4 , 78.2 , 81.7 , 74.6 , 65.8 ,
"     30 - 34 Years (Per 1,000 Unmarried Resident Males) ", 138 , 143.8 , 131.2 , 112.1 , 130.7 , 109.8 , 92.5 , 107.8 , 111.7 , 100.4 , 96.4 , 107.6 , 108.9 , 106.1 , 110.7 , 108 , 113.4 , 110.7 , 101.5 , 110.2 , 98.3 , 104.3 , 104.4 , 107.4 , 108.2 , 106.1 , 108.3 , 112.7 , 111.8 , 112.1 , 102.7 , 117.9 , 117.8 , 109.9 , 127.2 , 132.5 , 131.2 , 130.1 , 120.3 , 109.8 ,
"     35 - 39 Years (Per 1,000 Unmarried Resident Males) ", 106.3 , 123.3 , 122.2 , 84.8 , 103.3 , 83.2 , 70.4 , 87.7 , 77.1 , 75.1 , 68.5 , 77.5 , 79.5 , 78.5 , 77.9 , 70.8 , 72.2 , 77.2 , 67.2 , 71.1 , 64.5 , 73.3 , 70.7 , 64.4 , 80.4 , 78.1 , 84.8 , 83.7 , 84.9 , 92 , 77.9 , 89.2 , 96.5 , 86.2 , 89.1 , 90.6 , 88.8 , 90.9 , 91.7 , 90.3 ,
"     40 - 44 Years (Per 1,000 Unmarried Resident Males) ", 62.8 , 94.6 , 87.3 , 59.4 , 65.1 , 54.5 , 60.6 , 61.1 , 59.5 , 62.1 , 41.6 , 51.2 , 50.4 , 52.7 , 55.8 , 54.8 , 52 , 47.4 , 49.4 , 49.8 , 43.8 , 44.8 , 42.5 , 41.7 , 48.9 , 54.8 , 48.4 , 55.9 , 58.5 , 55.9 , 52.1 , 58.5 , 65.2 , 56 , 61 , 54.6 , 58.3 , 59.8 , 52.3 , 53.4 ,
"     45 - 49 Years (Per 1,000 Unmarried Resident Males) ", 42.3 , 60.4 , 58.9 , 46 , 48.3 , 45.8 , 37.7 , 45.9 , 32.5 , 42 , 28.3 , 33.9 , 38.5 , 40.2 , 39 , 35.2 , 34.6 , 35.5 , 32.9 , 36.6 , 30.9 , 30.3 , 30.8 , 29.3 , 31.4 , 39.2 , 37.8 , 38.6 , 37 , 40.6 , 36.7 , 41.2 , 39.8 , 36 , 35.7 , 36.3 , 35.5 , 37.1 , 33.3 , 33.1 ,
"     50 - 54 Years (Per 1,000 Unmarried Resident Males) ", 25.8 , 38.8 , 31.1 , 24.1 , 26.6 , 17.3 , 21.1 , 31 , 24.6 , 32.7 , 18.1 , 22.7 , 25.6 , 26.9 , 23.6 , 19 , 21.9 , 25.9 , 25.9 , 30.9 , 21 , 23.2 , 17.8 , 21.5 , 27.4 , 30.1 , 28.2 , 25 , 25 , 26.5 , 23.8 , 30.1 , 27 , 26.8 , 26.6 , 23.4 , 21.4 , 24.4 , 22.2 , 20.6 ,
