 Subject: Culture and Recreation 
 Topic : Culture and Recreation 
" Title  : M891141 - Sports And Performing Arts Courses Conducted By Community Clubs, Residents' Committees/Residents' Networks/Neighbourhood Committees And Passion Wave, Annual "
, , , , , , , , , ,Number
 Variables , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
" Number Of Classes For Music, Drama & Dance "," 20,439 "," 20,714 "," 19,627 "," 19,025 "," 19,182 "," 19,349 "," 18,576 "," 17,946 "," 17,364 "," 18,136 ",
     Dance ," 8,926 "," 9,073 "," 9,056 "," 9,143 "," 9,640 "," 9,827 "," 9,992 "," 9,982 "," 9,844 "," 9,899 ",
     Instrumental ," 7,721 "," 7,622 "," 6,970 "," 6,595 "," 6,371 "," 6,172 "," 5,380 "," 5,130 "," 4,992 "," 5,632 ",
     Music Theory , 33 , 20 , 21 , 14 , 18 , 155 , 122 , 116 , 114 , 120 ,
     Opera , 212 , 218 , 220 , 213 , 217 , 224 , 233 , 208 , 202 , 193 ,
     Speech And Drama , 296 , 259 , 254 , 215 , 222 , 247 , 234 , 178 , 148 , 99 ,
     Vocal ," 3,251 "," 3,522 "," 3,106 "," 2,845 "," 2,714 "," 2,724 "," 2,615 "," 2,332 "," 2,064 "," 2,193 ",
 Number Of Classes For Sports & Fitness ," 14,156 "," 15,400 "," 15,742 "," 14,590 "," 15,404 "," 16,007 "," 15,527 "," 14,985 "," 13,521 "," 12,918 ",
     Adventure Sports , 0 , 10 , 11 , 1 , 1 , 0 , 1 , 0 , 1 , 0 ,
     Ball & Bat Games , 595 , 629 , 436 , 341 , 368 , 293 , 280 , 276 , 247 , 303 ,
     Dance Fitness , 874 , 839 ," 1,541 "," 2,244 "," 3,049 "," 3,286 "," 3,291 "," 3,151 "," 2,802 "," 2,602 ",
     Intellectual & Board Games , 115 , 123 , 121 , 128 , 96 , 72 , 105 , 91 , 55 , 38 ,
     Martial Arts ," 5,077 "," 4,909 "," 4,315 "," 4,175 "," 4,200 "," 4,679 "," 4,612 "," 4,393 "," 4,101 "," 4,007 ",
     Mind Body Exercise ," 4,350 "," 4,506 "," 4,231 "," 3,831 "," 4,089 "," 4,079 "," 4,058 "," 4,236 "," 4,152 "," 3,996 ",
     Recreational Sports , 576 , 526 , 453 , 427 , 429 , 408 , 351 , 274 , 193 , 194 ,
     Strength & Conditioning , 958 ," 1,001 ", 939 , 841 , 874 , 911 , 752 , 798 , 804 , 852 ,
     Water Sports ," 1,611 "," 2,857 "," 3,695 "," 2,602 "," 2,298 "," 2,279 "," 2,077 "," 1,766 "," 1,166 ", 926 ,
