year,icd_main_category,icd_detail_category,certified_by,death_count
2016,1-001-Certain infection and parasitic diseases(A10-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),Doctors,34
2016,1-001-Certain infection and parasitic diseases(A10-B99),1-004-Other intestinal infectious diseases(A01-A08),Doctors,3
2016,1-001-Certain infection and parasitic diseases(A10-B99),1-005-Respiratory tuberculosis(A15-A16),Doctors,38
2016,1-001-Certain infection and parasitic diseases(A10-B99),1-006-Other tuberculosis(A17-A19),Doctors,3
2016,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),Doctors,29
2016,1-001-Certain infection and parasitic diseases(A10-B99),"1-017-Other arthropod-borne viral fevers				and viral haemorrhagic fevers(A90-A94,A96-A99)",Doctors,12
2016,1-001-Certain infection and parasitic diseases(A10-B99),1-019-Viral hepatitis(B15-B19),Doctors,2
2016,1-001-Certain infection and parasitic diseases(A10-B99),1-020-Human immunodeficiency virus [HIV] disease(B20-B24),Doctors,28
2016,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,Doctors,25
2016,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",Doctors,219
2016,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),Doctors,108
2016,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),Doctors,341
2016,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",Doctors,881
2016,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),Doctors,634
2016,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),Doctors,339
2016,1-026-Neplasms(C00-D48),1-033-Malignant neoplasm of larynx(C32),Doctors,36
2016,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",Doctors,1253
2016,1-026-Neplasms(C00-D48),1-035-Malignant melanoma of skin(C43),Doctors,14
2016,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),Doctors,475
2016,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),Doctors,86
2016,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),Doctors,84
2016,1-026-Neplasms(C00-D48),1-039-Malignant neoplasm of ovary(C56),Doctors,138
2016,1-026-Neplasms(C00-D48),1-040-Malignant neoplasm of prostate(C61),Doctors,195
2016,1-026-Neplasms(C00-D48),1-041-Malignant neoplasm of bladder(C67),Doctors,78
2016,1-026-Neplasms(C00-D48),"1-042-Malignant neoplasm of meninges, brain and other parts of central nervous system(C70-C72)",Doctors,76
2016,1-026-Neplasms(C00-D48),1-043-Non-Hodgkins lymphoma(C82-C85)),Doctors,161
2016,1-026-Neplasms(C00-D48),1-044-Multiple myeloma and malignant plasma cell neoplasms(C90),Doctors,67
2016,1-026-Neplasms(C00-D48),1-045-Leukaemia(C91-C95),Doctors,149
2016,1-026-Neplasms(C00-D48),1-046-Remainder of malignant neoplasms,Doctors,591
2016,1-026-Neplasms(C00-D48),1-047-Remainder of neoplasms(D00-D48),Doctors,68
2016,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)",1-049-Anaemias(D50-D64),Doctors,7
2016,"1-048-Diseases of the blood and blood-forming organs and					certain disorders involving the immune mechanism(D50-D89)","1-050-Remainder of diseases of the blood and blood-forming		organs and certain disorders involving the immune mechanism(D65-D89)",Doctors,7
2016,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)",1-052-Diabetes mellitus(E10-E14),Doctors,343
2016,"1-051-Endocrine, nutritional and metabolic diseases(E00-E88)","1-054-Remainder of endocrine, nutritional and metabolic diseases",Doctors,20
2016,1-055-Mental and behavioural disorders(F01-F99),"1-057-Remainder of mental and behavioural disorders(F01-F09,F20-F99)",Doctors,2
2016,1-058-Diseases of the nervous system(G00-G98),1-060-Alzheimers disease(G30),Doctors,9
2016,1-058-Diseases of the nervous system(G00-G98),"1-061-Remainder of diseases of the nervous system(G04-G25,G31-G98)",Doctors,215
2016,1-063-Diseases of the ear and mastoid process(H60-H93),1-063-Diseases of the ear and mastoid process(H60-H93),Doctors,2
2016,1-064-Diseases of the circulatory system(I00-I99),1-065-Acute rheumatic fever and chronic rheumatic heart diseases(I00-I09),Doctors,22
2016,1-064-Diseases of the circulatory system(I00-I99),1-066-Hypertensive diseases(I10-I13),Doctors,801
2016,1-064-Diseases of the circulatory system(I00-I99),1-067-Ischaemic heart diseases(I20-I25),Doctors,3396
2016,1-064-Diseases of the circulatory system(I00-I99),1-068-Other heart diseases(I26-I51),Doctors,357
2016,1-064-Diseases of the circulatory system(I00-I99),1-069-Cerebrovascular diseases(I60-I69),Doctors,1317
2016,1-064-Diseases of the circulatory system(I00-I99),1-070-Atherosclerosis(I71),Doctors,14
2016,1-064-Diseases of the circulatory system(I00-I99),1-071-Remainder of diseases of the circulatory system(I71-I99),Doctors,200
2016,1-072-Diseases of the respiratory system(J00-J98),1-073-Influenza(J09-J11),Doctors,1
2016,1-072-Diseases of the respiratory system(J00-J98),1-074-Pneumonia(J12-J18),Doctors,3855
