" Subject: Labour, Employment, Wages and Productivity "
 Topic : Wages and Income from Work 
" Title  : M183521 - Average Weekly Paid Hours Worked Per Employee By Industry, Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Hours
 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
 Total , 46.5 , 46.6 , 46.6 , 46.7 , 46.9 , 47.1 , 47.2 , 47.3 , 46.7 , 46.8 , 47 , 46.2 , 46 , 46 , 46.3 , 46.5 , 46.2 , 46.3 , 46.3 , 46 , 46.2 , 46.2 , 46.2 , 46.2 , 46 , 45.6 , 45.5 , 45.1 , 44.8 , 44.7 ,
     Manufacturing , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 50.5 , 50.6 , 50.1 , 49.3 , 50.5 , 50.2 , 50.2 , 50.1 , 49.7 , 49.3 , 48.9 , 48.5 , 48.3 , 47.8 ,
     Construction , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 51.9 , 52.2 , 52.4 , 52.2 , 52.4 , 52.8 , 53 , 53.2 , 52.9 , 52.1 , 52 , 50.8 , 50.4 , 50 ,
     Services , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 43.3 , 43.3 , 43.5 , 43.3 , 43.4 , 43.4 , 43.5 , 43.4 , 43.2 , 43.1 , 43.2 , 43.1 , 42.9 , 42.9 ,
     Wholesale And Retail Trade , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 43.2 , 43.4 , 43.7 , 43.7 , 43.8 , 43.7 , 43.6 , 43.2 , 43.1 , 43 , 42.7 , 42.8 , 42.9 , 42.9 ,
     Transportation And Storage , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 45.8 , 45.6 , 46 , 45.3 , 45.7 , 46.2 , 46.1 , 45.7 , 45.8 , 45.7 , 45.9 , 45.5 , 45.6 , 45.5 ,
     Accommodation And Food Services , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 38.9 , 39.8 , 41.2 , 41.2 , 41.2 , 41.6 , 42.1 , 43 , 42 , 41.5 , 42 , 42.2 , 41.5 , 41.8 ,
     Information And Communications , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 41.9 , 41.8 , 41.6 , 41.6 , 41.7 , 41.5 , 41.5 , 41.7 , 41.5 , 41.5 , 41.4 , 41.5 , 41.7 , 41.6 ,
     Financial And Insurance Services , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 42.7 , 42.3 , 42.1 , 41.9 , 41.4 , 41.2 , 41.2 , 41.2 , 41.1 , 41.1 , 41.1 , 41.1 , 41.1 , 41.6 ,
     Real Estate Services , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 44.1 , 44.3 , 44.2 , 44.2 , 44.7 , 44.6 , 44.5 , 44.6 , 44.5 , 44.8 , 45 , 44.6 , 44 , 44.2 ,
     Professional Services , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 43.9 , 43.9 , 44 , 43.3 , 43 , 43.1 , 43.6 , 43.6 , 43.1 , 42.9 , 43.3 , 43.1 , 43 , 42.9 ,
     Administrative And Support Services , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 50 , 49 , 48.3 , 47.9 , 48.7 , 48.5 , 48.5 , 47.5 , 47.3 , 46.4 , 46.6 , 46.7 , 46 , 46 ,
"     Community, Social And Personal Services ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 41.9 , 41.8 , 41.8 , 41.8 , 42 , 42.1 , 42.1 , 42.1 , 42 , 42.1 , 42.1 , 41.9 , 41.8 , 41.9 ,
     Others * , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 45.6 , 45.4 , 46.2 , 46.4 , 46.3 , 45.8 , 45.7 , 45.7 , 45.6 , 45.6 , 45.7 , 45.4 , 45.4 , 45.1 ,



"1) Before 2006, data pertain to private sector establishments each with at least 25 employees.  From 2006 onwards, it includes the public sector.  2) Annual figures are the simple averages of the figures obtained at quarterly intervals.  3) Data are based on SSIC1996(1990-1999), SSIC2005(2000-2005), SSIC2015(2006-current)."

TOTAL 
"    OTHERS - INCLUDES AGRICULTURE, FISHING, QUARRYING, UTILITIES AND SEWAGE & WASTE MANAGEMENT."
SOURCE: MINISTRY OF MANPOWER




Data last updated: 12/03/2020

Generated by: SingStat Table Builder 
Date generated: 30/10/2020
Contact: info@singstat.gov.sg 
