month,broadband_connections,no_of_subscriptions
2008-08,DSL,430519
2008-08,Cable Modem,423646
2008-09,DSL,433040
2008-09,Cable Modem,432755
2008-10,DSL,432726
2008-10,Cable Modem,435842
2008-11,DSL,433552
2008-11,Cable Modem,451373
2008-12,DSL,433824
2008-12,Cable Modem,472939
2009-01,DSL,434046
2009-01,Cable Modem,485444
2009-02,DSL,435168
2009-02,Cable Modem,493848
2009-03,DSL,437536
2009-03,Cable Modem,512104
2009-04,DSL,438533
2009-04,Cable Modem,522269
2009-05,DSL,438751
2009-05,Cable Modem,531987
2009-06,DSL,440185
2009-06,Cable Modem,536027
2009-07,DSL,441159
2009-07,Cable Modem,546754
2009-08,DSL,442712
2009-08,Cable Modem,552306
2009-09,DSL,442817
2009-09,Cable Modem,558421
2009-10,DSL,443039
2009-10,Cable Modem,552931
2009-11,DSL,443125
2009-11,Cable Modem,560735
2009-12,DSL,447563
2009-12,Cable Modem,577256
2010-01,DSL,448785
2010-01,Cable Modem,611760
2010-02,DSL,450478
2010-02,Cable Modem,620288
2010-03,DSL,464413
2010-03,Cable Modem,630184
2010-04,DSL,463118
2010-04,Cable Modem,637627
2010-05,DSL,464066
2010-05,Cable Modem,647645
2010-06,DSL,478061
2010-06,Cable Modem,654377
2010-07,DSL,483336
2010-07,Cable Modem,660873
2010-08,DSL,485862
2010-08,Cable Modem,661133
2010-09,DSL,492109
2010-09,Cable Modem,663702
2010-10,DSL,493487
2010-10,Cable Modem,667647
2010-11,DSL,493265
2010-11,Cable Modem,674046
2010-12,DSL,494579
2010-12,Cable Modem,678753
2011-01,DSL,493262
2011-01,Cable Modem,677463
2011-01,Fibre Based,8844
2011-02,DSL,494325
2011-02,Cable Modem,677855
2011-02,Fibre Based,11402
2011-03,DSL,493287
2011-03,Cable Modem,680896
2011-03,Fibre Based,16092
2011-04,DSL,495910
2011-04,Cable Modem,684410
2011-04,Fibre Based,20694
2011-05,DSL,494421
2011-05,Cable Modem,687579
2011-05,Fibre Based,24689
2011-06,DSL,492306
2011-06,Cable Modem,695377
2011-06,Fibre Based,32927
2011-07,DSL,489039
