year,type,engine,number
2006,Cars,Petrol,471707
2006,Cars,Diesel,7
2006,Cars,Petrol-Electric,379
2006,Cars,Petrol-Electric (Plug-In),0
2006,Cars,Petrol-CNG,214
2006,Cars,CNG,0
2006,Cars,Electric,1
2006,Cars,Diesel-Electric,0
2006,Taxis,Petrol,1
2006,Taxis,Diesel,23229
2006,Taxis,Petrol-Electric,0
2006,Taxis,Petrol-CNG,104
2006,Taxis,CNG,0
2006,Taxis,Electric,0
2006,Motorcycles,Petrol,141880
2006,Motorcycles,Electric,1
2006,Goods and Other Vehicles,Petrol,11703
2006,Goods and Other Vehicles,Diesel,121135
2006,Goods and Other Vehicles,Petrol-Electric,0
2006,Goods and Other Vehicles,Petrol-CNG,3
2006,Goods and Other Vehicles,CNG,0
2006,Goods and Other Vehicles,Electric,0
2006,Goods and Other Vehicles,Diesel-Electric,0
2006,Buses,Petrol,439
2006,Buses,Diesel,13380
2006,Buses,Petrol-Electric,0
2006,Buses,Petrol-CNG,0
2006,Buses,CNG,12
2006,Buses,Electric,0
2006,Buses,Diesel-Electric,0
2007,Cars,Petrol,513375
2007,Cars,Diesel,4
2007,Cars,Petrol-Electric,1057
2007,Cars,Petrol-Electric (Plug-In),0
2007,Cars,Petrol-CNG,248
2007,Cars,CNG,0
2007,Cars,Electric,1
2007,Cars,Diesel-Electric,0
2007,Taxis,Petrol,1
2007,Taxis,Diesel,24224
2007,Taxis,Petrol-Electric,0
2007,Taxis,Petrol-CNG,220
2007,Taxis,CNG,1
2007,Taxis,Electric,0
2007,Motorcycles,Petrol,143482
2007,Motorcycles,Electric,0
2007,Goods and Other Vehicles,Petrol,11569
2007,Goods and Other Vehicles,Diesel,127031
2007,Goods and Other Vehicles,Petrol-Electric,0
2007,Goods and Other Vehicles,Petrol-CNG,1
2007,Goods and Other Vehicles,CNG,3
2007,Goods and Other Vehicles,Electric,0
2007,Goods and Other Vehicles,Diesel-Electric,0
2007,Buses,Petrol,392
2007,Buses,Diesel,13788
2007,Buses,Petrol-Electric,0
2007,Buses,Petrol-CNG,0
2007,Buses,CNG,12
2007,Buses,Electric,0
2007,Buses,Diesel-Electric,0
2008,Cars,Petrol,545994
2008,Cars,Diesel,17
2008,Cars,Petrol-Electric,1999
2008,Cars,Petrol-Electric (Plug-In),0
2008,Cars,Petrol-CNG,2440
2008,Cars,CNG,4
2008,Cars,Electric,1
2008,Cars,Diesel-Electric,0
2008,Taxis,Petrol,11
2008,Taxis,Diesel,23311
2008,Taxis,Petrol-Electric,0
2008,Taxis,Petrol-CNG,977
2008,Taxis,CNG,1
2008,Taxis,Electric,0
2008,Motorcycles,Petrol,145288
2008,Motorcycles,Electric,0
2008,Goods and Other Vehicles,Petrol,11002
2008,Goods and Other Vehicles,Diesel,131955
2008,Goods and Other Vehicles,Petrol-Electric,0
2008,Goods and Other Vehicles,Petrol-CNG,6
2008,Goods and Other Vehicles,CNG,3
2008,Goods and Other Vehicles,Electric,0
2008,Goods and Other Vehicles,Diesel-Electric,0
2008,Buses,Petrol,333
2008,Buses,Diesel,14631
2008,Buses,Petrol-Electric,0
2008,Buses,Petrol-CNG,0
2008,Buses,CNG,12
2008,Buses,Electric,0
2008,Buses,Diesel-Electric,0
2009,Cars,Petrol,571629
2009,Cars,Diesel,43
2009,Cars,Petrol-Electric,2637
2009,Cars,Petrol-Electric (Plug-In),0
2009,Cars,Petrol-CNG,2678
2009,Cars,CNG,0
2009,Cars,Electric,1
2009,Cars,Diesel-Electric,0
2009,Taxis,Petrol,150
2009,Taxis,Diesel,22693
2009,Taxis,Petrol-Electric,4
2009,Taxis,Petrol-CNG,1855
2009,Taxis,CNG,0
2009,Taxis,Electric,0
2009,Motorcycles,Petrol,146333
2009,Motorcycles,Electric,4
2009,Goods and Other Vehicles,Petrol,10627
2009,Goods and Other Vehicles,Diesel,134160
2009,Goods and Other Vehicles,Petrol-Electric,0
2009,Goods and Other Vehicles,Petrol-CNG,9
2009,Goods and Other Vehicles,CNG,6
2009,Goods and Other Vehicles,Electric,0
2009,Goods and Other Vehicles,Diesel-Electric,0
2009,Buses,Petrol,285
2009,Buses,Diesel,15344
2009,Buses,Petrol-Electric,0
2009,Buses,Petrol-CNG,4
2009,Buses,CNG,26
2009,Buses,Electric,0
2009,Buses,Diesel-Electric,0
2010,Cars,Petrol,589034
2010,Cars,Diesel,138
2010,Cars,Petrol-Electric,3305
2010,Cars,Petrol-Electric (Plug-In),0
2010,Cars,Petrol-CNG,2706
2010,Cars,CNG,0
2010,Cars,Electric,2
2010,Cars,Diesel-Electric,0
2010,Taxis,Petrol,230
2010,Taxis,Diesel,23214
2010,Taxis,Petrol-Electric,30
2010,Taxis,Petrol-CNG,2599
2010,Taxis,CNG,0
2010,Taxis,Electric,0
