Date,PSI
1/4/2014,57.7
2/4/2014,56.6
3/4/2014,53.3
4/4/2014,55.5
5/4/2014,64.9
6/4/2014,52.9
7/4/2014,47.6
8/4/2014,52.8
9/4/2014,57.6
10/4/2014,57.2
11/4/2014,57.7
12/4/2014,57.6
13/4/2014,56.8
14/4/2014,58.6
15/4/2014,64.8
16/4/2014,63.1
17/4/2014,67.4
18/4/2014,64.3
19/4/2014,60.4
20/4/2014,58.2
21/4/2014,59.5
22/4/2014,57.1
23/4/2014,60.9
24/4/2014,55.0
25/4/2014,60.2
26/4/2014,69.5
27/4/2014,60.7
28/4/2014,64.7
29/4/2014,61.8
30/4/2014,66.0
1/5/2014,58.4
2/5/2014,56.9
3/5/2014,48.0
4/5/2014,54.0
5/5/2014,54.7
6/5/2014,51.4
7/5/2014,51.3
8/5/2014,48.9
9/5/2014,66.5
10/5/2014,47.8
11/5/2014,51.6
12/5/2014,58.7
13/5/2014,58.6
14/5/2014,62.1
15/5/2014,54.0
16/5/2014,50.3
17/5/2014,51.5
18/5/2014,44.0
19/5/2014,47.1
20/5/2014,40.9
21/5/2014,57.6
22/5/2014,64.6
23/5/2014,42.6
24/5/2014,53.9
25/5/2014,43.0
26/5/2014,36.0
27/5/2014,55.1
28/5/2014,45.0
29/5/2014,50.1
30/5/2014,60.1
31/5/2014,53.7
1/6/2014,35.2
2/6/2014,41.8
3/6/2014,50.1
4/6/2014,50.3
5/6/2014,47.0
6/6/2014,43.8
7/6/2014,53.0
8/6/2014,37.5
9/6/2014,36.4
10/6/2014,51.8
11/6/2014,53.3
12/6/2014,48.1
13/6/2014,52.7
14/6/2014,51.1
15/6/2014,42.3
16/6/2014,50.4
17/6/2014,46.6
18/6/2014,47.0
19/6/2014,48.5
20/6/2014,50.8
21/6/2014,51.3
22/6/2014,56.7
23/6/2014,60.5
24/6/2014,62.4
25/6/2014,52.1
26/6/2014,43.6
27/6/2014,48.8
28/6/2014,53.4
29/6/2014,53.5
30/6/2014,55.2
1/7/2014,48.3
2/7/2014,53.5
3/7/2014,57.7
4/7/2014,57.6
5/7/2014,58.7
6/7/2014,55.2
7/7/2014,49.8
8/7/2014,50.4
9/7/2014,52.1
10/7/2014,43.4
11/7/2014,52.1
12/7/2014,53.3
13/7/2014,52.2
14/7/2014,42.7
15/7/2014,53.0
16/7/2014,52.3
17/7/2014,55.8
18/7/2014,55.7
19/7/2014,53.1
20/7/2014,52.0
21/7/2014,48.4
22/7/2014,46.6
23/7/2014,51.3
24/7/2014,54.0
25/7/2014,56.5
26/7/2014,55.4
27/7/2014,54.0
28/7/2014,54.3
29/7/2014,53.0
30/7/2014,54.1
31/7/2014,52.2
1/8/2014,35.3
2/8/2014,51.4
3/8/2014,55.9
4/8/2014,56.1
5/8/2014,51.7
6/8/2014,40.6
7/8/2014,37.8
8/8/2014,39.3
9/8/2014,39.5
10/8/2014,27.4
11/8/2014,31.2
12/8/2014,40.5
13/8/2014,49.6
14/8/2014,50.9
15/8/2014,45.9
16/8/2014,61.6
17/8/2014,57.3
18/8/2014,53.7
19/8/2014,56.3
20/8/2014,57.3
21/8/2014,58.4
22/8/2014,58.1
23/8/2014,43.8
24/8/2014,52.6
25/8/2014,56.5
26/8/2014,61.3
27/8/2014,56.8
28/8/2014,53.4
29/8/2014,51.3
30/8/2014,55.0
31/8/2014,53.0
1/9/2014,56.5
2/9/2014,60.0
3/9/2014,65.1
4/9/2014,65.9
5/9/2014,66.6
6/9/2014,54.9
7/9/2014,45.4
8/9/2014,60.9
9/9/2014,63.0
10/9/2014,62.2
11/9/2014,61.5
12/9/2014,66.2
13/9/2014,65.4
14/9/2014,63.8
15/9/2014,76.5
16/9/2014,68.0
17/9/2014,58.8
18/9/2014,85.6
19/9/2014,94.4
20/9/2014,67.3
21/9/2014,54.8
22/9/2014,82.5
23/9/2014,61.4
24/9/2014,64.8
25/9/2014,57.1
26/9/2014,59.4
27/9/2014,65.3
28/9/2014,67.4
29/9/2014,70.0
30/9/2014,69.5
1/10/2014,74.1
2/10/2014,68.4
3/10/2014,70.3
4/10/2014,65.6
5/10/2014,53.9
6/10/2014,59.0
7/10/2014,102.4
8/10/2014,73.2
9/10/2014,71.8
10/10/2014,57.8
11/10/2014,71.3
12/10/2014,90.9
13/10/2014,70.5
14/10/2014,66.4
15/10/2014,70.3
16/10/2014,65.3
17/10/2014,58.5
18/10/2014,66.3
19/10/2014,81.4
20/10/2014,80.7
21/10/2014,70.5
22/10/2014,63.4
23/10/2014,72.0
24/10/2014,73.7
25/10/2014,67.0
26/10/2014,60.0
27/10/2014,55.3
28/10/2014,58.9
29/10/2014,72.7
30/10/2014,64.4
31/10/2014,67.1
1/11/2014,66.1
2/11/2014,71.1
3/11/2014,96.7
4/11/2014,77.0
5/11/2014,68.7
6/11/2014,65.9
7/11/2014,55.7
8/11/2014,55.5
9/11/2014,44.3
10/11/2014,57.1
11/11/2014,57.0
12/11/2014,65.1
13/11/2014,61.0
14/11/2014,40.7
15/11/2014,32.8
16/11/2014,36.5
17/11/2014,45.8
18/11/2014,42.2
19/11/2014,42.5
20/11/2014,32.0
21/11/2014,44.8
22/11/2014,43.0
23/11/2014,45.3
24/11/2014,44.8
25/11/2014,44.1
26/11/2014,47.7
27/11/2014,46.5
28/11/2014,49.3
29/11/2014,34.4
30/11/2014,38.5
1/12/2014,53.4
2/12/2014,52.4
3/12/2014,54.8
4/12/2014,54.5
5/12/2014,58.0
6/12/2014,57.0
7/12/2014,38.3
8/12/2014,35.0
9/12/2014,39.6
10/12/2014,45.4
11/12/2014,47.5
12/12/2014,46.0
13/12/2014,39.6
14/12/2014,46.6
15/12/2014,35.0
16/12/2014,29.4
17/12/2014,31.9
18/12/2014,34.0
19/12/2014,26.6
20/12/2014,29.7
21/12/2014,27.1
22/12/2014,26.2
